quality_score,Owner,Country_of_Origin,Farm_Name,Company,Region,Producer,Number_of_Bags,Bag_Weight,In-Country_Partner,Harvest_Year,Grading_Date,Variety,Status,Processing_Method,Aroma,Flavor,Aftertaste,Acidity,Body,Balance,Uniformity,Clean_Cup,Sweetness,Cupper_Points,Total_Cup_Points,Moisture,Category_One_Defects,Quakers,Color,Category_Two_Defects,Expiration,Certification_Body,Certification_Address,Certification_Contact,Altitude_Units,Lower_Altitude,Upper_Altitude
82.08,SERGIO DE LA VEQUIA BERNARDI,Mexico,TOMATLANCILLO,,HUATUSCO,RAMIRO DE LA VEQUIA BERNARDI,250,1,AMECAFE,2012,"July 11th, 2012",Typica,Completed,Washed / Wet,7.58,7.42,7.25,7.75,7.33,7.42,10,10,10,7.33,Sample  82.08,11%,0 full defects,0,Green,1 full defects,"July 11th, 2013",AMECAFE,Tenayuca 107 Col. Vertiz Narvarte México D.F. Z.C. 03600,Sylvia Gutiérrez - 52-55-56884569 ext 6792,meters,1250,
82.08,Kona Pacific Farmers Cooperative,United States (Hawaii),,CQI,Kona,,10,45.3592,Specialty Coffee Association,2012,"February 23rd, 2012",Hawaiian Kona,Completed,Washed / Wet,7.33,7.5,7.33,7.58,7.08,7.83,10,10,10,7.42,Sample  82.08,10%,0 full defects,0,Green,2 full defects,"February 22nd, 2013",Specialty Coffee Association,"117 W 4th St, Suite 300 Santa Ana, CA 92701",Chris Buck - (562) 624-4100,,,
82.08,CARCAFE LTDA CI,Colombia,,,Cauca,Carlos Pechene / Jesús Pechene / Flor Chacón,275,70,Almacafé,Jan-11,"April 18th, 2011",,Completed,,7.67,7.42,7.67,7.33,7.25,7.58,10,10,10,7.17,Sample  82.08,8%,1 full defects,0,,5 full defects,"April 17th, 2012",Almacafé,"Calle 73 No. 8-13 Piso 2 Torre B Bogota, Colombia",Rodrigo Alarcon - 3136600,meters,1600,
82,Bismarck Castro,Honduras,Las Moras,CIGRAH S.A DE C.V,El Paraíso,Santos Fonseca,275,69,Instituto Hondureño del Café,2017,"June 1st, 2017",Caturra,Completed,Washed / Wet,7.5,7.5,7.17,7.5,7.5,7.42,10,10,10,7.42,Sample  82.00,12%,0 full defects,0,Green,1 full defects,"June 1st, 2018",Instituto Hondureño del Café,"Laboratorio de Control de Calidad de Café ( CNCC), 33 Calle, 1-2 Avenida, Sector El Cacao. San Pedro Sula, Cortes",Ramon Reyes - + 504 9693-9042,meters,1600,
82,Bismarck Castro,Honduras,Las Moras,CIGRAH S.A DE C.V,Guinope El Paraíso,Santos Fonseca,275,69,Instituto Hondureño del Café,2016,"April 6th, 2017",Caturra,Completed,Natural / Dry,7.5,7.5,7.25,7.33,7.42,7.5,10,10,10,7.5,Sample  82.00,10%,0 full defects,1,Green,7 full defects,"April 6th, 2018",Instituto Hondureño del Café,"Laboratorio de Control de Calidad de Café ( CNCC), 33 Calle, 1-2 Avenida, Sector El Cacao. San Pedro Sula, Cortes",Ramon Reyes - + 504 9693-9042,meters,1600,
82,Ipanema Coffees,Brazil,Capoeirinha Farm,Ipanema Coffees,South of Minas Gerais,Ipanema Agricola,230,60,Brazil Specialty Coffee Association,2016,"August 16th, 2016",Bourbon,Completed,Natural / Dry,7.5,7.33,7.42,7.5,7.33,7.42,10,10,10,7.5,Sample  82.00,11%,0 full defects,2,Green,3 full defects,"August 16th, 2017",Brazil Specialty Coffee Association,"Rua Gaspar Batista Paiva, 416 – Santa Luiza Varginha/MG – Brazil",João Vitor - 55 35 3212-6302 or 3212-4705,meters,944,
82,Didas,"Tanzania, United Republic Of",Family farm,TAWOCA,Kilimanjaro,Mr & Mrs Didas Mallya,2,80,Africa Fine Coffee Association,2015,"November 16th, 2015",Other,Completed,Washed / Wet,7.67,7.33,7.33,7.42,7.42,7.42,10,10,10,7.42,Sample  82.00,13%,0 full defects,0,Green,20 full defects,"November 15th, 2016",Africa Fine Coffee Association,"P.O.Box 27405, Plot 4, Bazarabuza Drive, Bugolobi, Kampala, Uganda.",Faith Asaji - +256 414 269 140,meters,1500,1800
82,Minwook Ku,Laos,Club Green,Kettles Coffee Roasters,Lao P.D.R.,HanYong Choi,1,2,Specialty Coffee Institute of Asia,2015,"November 5th, 2015",Other,Completed,Washed / Wet,7.42,7.5,7.25,7.33,7.5,7.5,10,10,10,7.5,Sample  82.00,12%,0 full defects,0,Blue-Green,0 full defects,"November 4th, 2016",Specialty Coffee Institute of Asia,"3F, 259-1 Ulgiro-3-ga, Joong-gu, Seoul, South Korea, Zip code:100-847","Sung-Yong Steven Kil - 82-10-7912-1456-English, 82-2269-1456-Korean",meters,1250,
82,Finca Estate,"Tanzania, United Republic Of",Finca Estate,Finca Estate,Meru,Finca Estate,1,60,Africa Fine Coffee Association,2014,"December 18th, 2014",Other,Completed,Washed / Wet,7.42,7.42,7.33,7.58,7.33,7.42,10,10,10,7.5,Sample  82.00,12%,0 full defects,0,Green,3 full defects,"December 18th, 2015",Africa Fine Coffee Association,"P.O.Box 27405, Plot 4, Bazarabuza Drive, Bugolobi, Kampala, Uganda.",Faith Asaji - +256 414 269 140,meters,1300,1400
82,AFCA,Malawi,Chikali,Mzuzu Coffee Planters Coop Union,North of Mzuzu,Mzuzu Coffee Coop Union,16,60,Africa Fine Coffee Association,2014,"October 31st, 2014",Gesha,Completed,Washed / Wet,7.5,7.42,7.33,7.58,7.33,7.5,10,10,10,7.33,Sample  82.00,13%,0 full defects,0,Bluish-Green,1 full defects,"October 31st, 2015",Africa Fine Coffee Association,"P.O.Box 27405, Plot 4, Bazarabuza Drive, Bugolobi, Kampala, Uganda.",Faith Asaji - +256 414 269 140,meters,2500,
82,"Lin, Che-Hao Krude 林哲豪",Taiwan,"You Siang Coffee FarmTainan, Taiwan 台灣台南優香咖啡","RED ON TREE CO., LTD.","Dongshan Dist., Tainan City 臺南市東山區",Chen Jin Lin 陳金璘,50,20,Specialty Coffee Association,2013,"July 22nd, 2014",Typica,Completed,Washed / Wet,7.33,7.5,7.17,7.42,7.5,7.33,10,10,10,7.75,Sample  82.00,9%,0 full defects,0,Green,0 full defects,"July 22nd, 2015",Specialty Coffee Association,"117 W 4th St, Suite 300 Santa Ana, CA 92701",Chris Buck - (562) 624-4100,meters,600,
82,Doi Tung Development Project,Thailand,,Doi Tung Development Project,Thailand,Doi Tung Development Project,1,1,Specialty Coffee Association,2013,"June 20th, 2014",,Completed,Washed / Wet,7.58,7.5,7.42,7.42,7.33,7.42,10,10,10,7.33,Sample  82.00,11%,0 full defects,0,Green,0 full defects,"June 20th, 2015",Specialty Coffee Association,"117 W 4th St, Suite 300 Santa Ana, CA 92701",Chris Buck - (562) 624-4100,meters,800,
82,Eric Thormaehlen,Costa Rica,VARIOS,CORICAFE S.A.,CENTRAL VALLEY - WEST VALLEY,VARIOS,250,1,Specialty Coffee Association of Costa Rica,2013,"June 9th, 2014",Catuai,Completed,Washed / Wet,7.5,7.25,7.33,7.33,7.75,7.5,10,10,10,7.33,Sample  82.00,10%,0 full defects,0,Green,4 full defects,"June 9th, 2015",Specialty Coffee Association of Costa Rica,"Blvd Rohrmoser, de Prisma Dental 200 norte y 25 oeste, casa 21",Noelia Villalobos - (506) 2220 0685,meters,1200,1400
82,Beneficio Santa Rosa,Honduras,BSR,Beneficio Santa Rosa S.A.,Occidental,BSR,275,69,Instituto Hondureño del Café,2014,"April 30th, 2014",Caturra,Completed,Washed / Wet,7.33,7.33,7.33,7.5,7.5,7.83,10,10,10,7.17,Sample  82.00,11%,0 full defects,0,Green,5 full defects,"April 30th, 2015",Instituto Hondureño del Café,"Laboratorio de Control de Calidad de Café ( CNCC), 33 Calle, 1-2 Avenida, Sector El Cacao. San Pedro Sula, Cortes",Ramon Reyes - + 504 9693-9042,meters,1400,
82,Racafe & Cia S.C.A,Colombia,,Racafe & Cia S.C.A,Huila,,250,70,Almacafé,2013,"September 13th, 2013",Caturra,Completed,Washed / Wet,7.33,7.33,7.58,7.5,7.5,7.58,10,10,10,7.17,Sample  82.00,11%,0 full defects,0,Green,1 full defects,"September 13th, 2014",Almacafé,"Calle 73 No. 8-13 Piso 2 Torre B Bogota, Colombia",Rodrigo Alarcon - 3136600,meters,1800,2000
82,"Lin, Che-Hao Krude 林哲豪",Taiwan,Gao Chun Fang 高醇坊,"RED ON TREE CO., LTD.","Dongshan Dist., Tainan City 臺南市東山區","Lin Huang, A-Mien 黃阿綿",30,10,Specialty Coffee Association,2012,"June 3rd, 2013",Typica,Completed,Washed / Wet,7.42,7.58,7.33,7.42,8,7.5,9.33,10,10,7.42,Sample  82.00,12%,0 full defects,0,Bluish-Green,0 full defects,"June 3rd, 2014",Specialty Coffee Association,"117 W 4th St, Suite 300 Santa Ana, CA 92701",Chris Buck - (562) 624-4100,meters,600,700
82,Owen Carver,Brazil,Café do Paraíso,Café do Paraíso,"Minas Gerais, BR",Café do Paraíso,1,2,Specialty Coffee Association,2012,"May 21st, 2013",Mundo Novo,Completed,Natural / Dry,7.33,7.67,7.42,7.17,7.33,7.42,10,10,10,7.67,Sample  82.00,11%,0 full defects,0,Blue-Green,0 full defects,"May 21st, 2014",Specialty Coffee Association,"117 W 4th St, Suite 300 Santa Ana, CA 92701",Chris Buck - (562) 624-4100,meters,894,1183
82,JORGE OCTAVIO ESCAMILLA PRADO,Mexico,LA CEIBA,,COSCOMATEPEC,JORGE OCTAVIO ESCAMILLA PRADO,15,1,AMECAFE,2012,"July 11th, 2012",Typica,Completed,Washed / Wet,7.67,7.33,7.25,7.5,7.42,7.42,10,10,10,7.42,Sample  82.00,12%,0 full defects,0,Green,1 full defects,"July 11th, 2013",AMECAFE,Tenayuca 107 Col. Vertiz Narvarte México D.F. Z.C. 03600,Sylvia Gutiérrez - 52-55-56884569 ext 6792,meters,940,
82,NUCOFFEE,Brazil,Campo das Flores,NUCOFFEE,South of Minas Gerais,Vander Bonaccorsi,50,60,NUCOFFEE,2012,"June 4th, 2012",Mundo Novo,Completed,Natural / Dry,7.42,7.5,7.33,7.5,7.33,7.5,10,10,10,7.42,Sample  82.00,12%,0 full defects,0,Green,1 full defects,"June 4th, 2013",NUCOFFEE,"Av. Nações Unidas, 18.001 - 5° floor",-,meters,1000,
82,NUCOFFEE,Brazil,São José da Lagoa,NUCOFFEE,Cerrado of Minas Gerais,José Hiroiti,75,60,NUCOFFEE,2012,"April 11th, 2012",Catuai,Completed,Semi-washed / Semi-pulped,7.42,7.5,7.25,7.5,7.5,7.42,10,10,10,7.42,Sample  82.00,11%,0 full defects,0,Blue-Green,1 full defects,"April 11th, 2013",NUCOFFEE,"Av. Nações Unidas, 18.001 - 5° floor",-,meters,1050,
82,Juan Luis Alvarado Romero,Guatemala,EL FARO,"ELFASA, S.A.",SAN MARCOS,PAUL STAUDER,250,1,Asociacion Nacional Del Café,2012,"March 26th, 2012",Bourbon,Completed,Natural / Dry,7.33,7.33,7.33,7.5,7.67,7.67,10,10,10,7.17,Sample  82.00,11%,0 full defects,0,Green,3 full defects,"March 26th, 2013",Asociacion Nacional Del Café,"5a Calle 0-50, Zona 14 Guatemala City, Guatemala 1014",Juan Luis Alvarado Romero - +502 2311.1951,,,
82,NUCOFFEE,Brazil,Santa Mariana/São Vicente,NUCOFFEE,South of Minas Gerais,Maria da Gloria Junqueira,53,60,NUCOFFEE,2012,"February 17th, 2012",Mundo Novo,Completed,Semi-washed / Semi-pulped,7.58,7.5,7.17,7.5,7.5,7.42,10,10,10,7.33,Sample  82.00,12%,0 full defects,0,Green,2 full defects,"February 16th, 2013",NUCOFFEE,"Av. Nações Unidas, 18.001 - 5° floor",-,meters,950,
82,Felipe Isaza,Guatemala,Conquista/Morito,Coffee Resources Inc.,Oriente,Conquista/Morito,250,2,Specialty Coffee Association,2012,"February 1st, 2012",Bourbon,Completed,Washed / Wet,7.75,7.33,7.33,7.42,7.75,7.67,10,10,9.33,7.42,Sample  82.00,0%,0 full defects,0,Green,10 full defects,"January 31st, 2013",Specialty Coffee Association,"117 W 4th St, Suite 300 Santa Ana, CA 92701",Chris Buck - (562) 624-4100,feet,4600,
82,Racafe & Cia S.C.A,Colombia,,,Huila,"Grupo Monserrate, La Plata",150,70,Almacafé,Mayo a Julio,"July 29th, 2011",Caturra,Completed,,7.33,7,7.08,7.42,7.5,7.67,10,10,10,8,Sample  82.00,7%,0 full defects,0,,2 full defects,"July 28th, 2012",Almacafé,"Calle 73 No. 8-13 Piso 2 Torre B Bogota, Colombia",Rodrigo Alarcon - 3136600,meters,,
81.92,Juan Luis Alvarado Romero,Guatemala,LA ESPERANZA,"UNEX GUATEMALA, S.A.",ORIENTE,"AGRICOLA EL PILAR, S.A.",25,69,Asociacion Nacional Del Café,2017,"August 22nd, 2017",Bourbon,Completed,Washed / Wet,7.58,7.5,7.25,7.58,7.58,7.5,9.33,10,10,7.58,Sample  81.92,10%,0 full defects,0,Green,1 full defects,"August 22nd, 2018",Asociacion Nacional Del Café,"5a Calle 0-50, Zona 14 Guatemala City, Guatemala 1014",Juan Luis Alvarado Romero - +502 2311.1951,meters,1901,
81.92,Juan Luis Alvarado Romero,Guatemala,LAS DELICIAS,"UNEX GUATEMALA, S.A.",SANTA ROSA,OTTO BECKER,50,69,Asociacion Nacional Del Café,2017,"June 22nd, 2017",Bourbon,Completed,Washed / Wet,7.5,7.5,7.25,7.42,7.42,7.42,10,10,10,7.42,Sample  81.92,11%,0 full defects,2,Green,0 full defects,"June 22nd, 2018",Asociacion Nacional Del Café,"5a Calle 0-50, Zona 14 Guatemala City, Guatemala 1014",Juan Luis Alvarado Romero - +502 2311.1951,feet,4000,
81.92,Bismarck Castro,Honduras,Los Hicaques,CIGRAH S.A DE C.V,Comayagua,Reinerio Zepeda,274,67,Instituto Hondureño del Café,2017,"June 1st, 2017",Caturra,Completed,Washed / Wet,7.58,7.5,7.25,7.33,7.42,7.5,10,10,10,7.33,Sample  81.92,12%,0 full defects,0,Green,1 full defects,"June 1st, 2018",Instituto Hondureño del Café,"Laboratorio de Control de Calidad de Café ( CNCC), 33 Calle, 1-2 Avenida, Sector El Cacao. San Pedro Sula, Cortes",Ramon Reyes - + 504 9693-9042,meters,1400,
81.92,Gabriel Barbara,Brazil,Santa Bárbara,Volcafe Ltda.,"Monte Carmelo, Cerrado",Múcio Cardoso,305,59,Brazil Specialty Coffee Association,2016 / 2017,"October 26th, 2016",Catuai,Completed,Natural / Dry,7.42,7.33,7.33,7.5,7.5,7.33,10,10,10,7.5,Sample  81.92,11%,0 full defects,0,Green,4 full defects,"October 26th, 2017",Brazil Specialty Coffee Association,"Rua Gaspar Batista Paiva, 416 – Santa Luiza Varginha/MG – Brazil",João Vitor - 55 35 3212-6302 or 3212-4705,meters,1020,
81.92,Consejo Salvadoreño del Café,El Salvador,La Esperanza,Consejo Salvadoreño del Café,El bálsamo - Quezaltepec,"Comercial Exportadora, S.A. de C.V.",275,69,Salvadoran Coffee Council,2014,"May 5th, 2015",Bourbon,Completed,Washed / Wet,7.67,7.58,7.33,7.5,7.5,7.67,10,10,9.33,7.33,Sample  81.92,11%,0 full defects,0,Green,2 full defects,"May 4th, 2016",Salvadoran Coffee Council,"Final 1a. Av. Norte y 13 Calle Pte., dentro de las instalaciones del MAG",Tomas Bonilla - (503) 2505-6600,meters,1250,
81.92,Juan Luis Alvarado Romero,Guatemala,LAS CEBOLLAS Y ANEXOS,Asociación Nacional del Café - Anacafe -,NUEVO ORIENTE,OVIDIO CARDONA,275,69,Asociacion Nacional Del Café,2015,"April 20th, 2015",Catuai,Completed,Washed / Wet,7.58,7.58,7.17,7.83,7.17,7.33,10,10,10,7.25,Sample  81.92,11%,0 full defects,0,Green,7 full defects,"April 19th, 2016",Asociacion Nacional Del Café,"5a Calle 0-50, Zona 14 Guatemala City, Guatemala 1014",Juan Luis Alvarado Romero - +502 2311.1951,meters,,
81.92,Mcomafa Co Ltd,"Tanzania, United Republic Of",Mcomafa Farm No1155GR,Mcomafa Co. Ltd,Mbeya,Mcomafa,114,60,Africa Fine Coffee Association,2014,"January 6th, 2015",Other,Completed,Washed / Wet,7.33,7.33,7.33,7.42,7.5,7.58,10,10,10,7.42,Sample  81.92,12%,0 full defects,0,Green,4 full defects,"January 6th, 2016",Africa Fine Coffee Association,"P.O.Box 27405, Plot 4, Bazarabuza Drive, Bugolobi, Kampala, Uganda.",Faith Asaji - +256 414 269 140,meters,1877,
81.92,Chris Finch,Nicaragua,,Volcafe Specialty Coffee,,,275,2.26796,Specialty Coffee Association,2013,"July 29th, 2014",,Completed,Washed / Wet,7.58,7.42,7.25,7.17,7.5,7.67,10,10,10,7.33,Sample  81.92,12%,3 full defects,0,Green,4 full defects,"July 29th, 2015",Specialty Coffee Association,"117 W 4th St, Suite 300 Santa Ana, CA 92701",Chris Buck - (562) 624-4100,,,
81.92,LUSSO LAB,Zambia,Mubuyu Munali,LUSSO COFFEE LAB,Mubuyu Estate,,13,2,Specialty Coffee Association,2014,"June 20th, 2014",SL28,Completed,Washed / Wet,7.67,7.08,7.42,7.33,7.75,7.42,10,10,10,7.25,Sample  81.92,0%,1 full defects,0,,3 full defects,"June 20th, 2015",Specialty Coffee Association,"117 W 4th St, Suite 300 Santa Ana, CA 92701",Chris Buck - (562) 624-4100,meters,1000,1500
81.92,Rob Tuttle,Honduras,,Thrive Farmers,,,1,2,Specialty Coffee Association,2012,"January 17th, 2014",,Completed,Washed / Wet,7.42,7.33,7.33,7.58,7.33,7.5,10,10,10,7.42,Sample  81.92,11%,0 full defects,0,Green,0 full defects,"January 17th, 2015",Specialty Coffee Association,"117 W 4th St, Suite 300 Santa Ana, CA 92701",Chris Buck - (562) 624-4100,,,
81.92,CQI Taiwan ICP CQI台灣合作夥伴,Taiwan,Dragon Coffee 龍咖啡,Blossom Valley宸嶧國際,Taichung Xinshe 台中市新社區,Chen gui jiao 陳桂嬌,35,30,Blossom Valley International,2012,"December 26th, 2013",Typica,Completed,Other,7.5,7.5,7.42,7.25,7.5,7.5,10,10,10,7.25,Sample  81.92,11%,0 full defects,0,Green,0 full defects,"December 26th, 2014",Blossom Valley International,No.72 Mo-Fan St. Taiwan Zip: 403,Damon Chen - +886-4-23022323,meters,1000,
81.92,CALIXTO GUILLEN VAZQUEZ,Mexico,VARIAS COMUNIDADES,"FINCA TRIUNFO VERDE, S.C.",CHIAPAS,VARIOS PRODUCTORES,450,1,AMECAFE,2013,"March 29th, 2013",Bourbon,Completed,Washed / Wet,7.58,7.5,7.25,7.58,7.5,7.25,10,10,10,7.25,Sample  81.92,12%,0 full defects,0,Green,6 full defects,"March 29th, 2014",AMECAFE,Tenayuca 107 Col. Vertiz Narvarte México D.F. Z.C. 03600,Sylvia Gutiérrez - 52-55-56884569 ext 6792,meters,1300,
81.92,SAUL M. HERNANDEZ RAMIREZ,Mexico,PLATANAL,,"CHAPULHUACAN, HIDALGO","PONCE RUBIO, VENANCIO",10,1,AMECAFE,2012,"September 27th, 2012",Typica,Completed,Semi-washed / Semi-pulped,7.5,7.5,7.25,7.25,7.5,7.5,10,10,10,7.42,Sample  81.92,13%,2 full defects,0,None,7 full defects,"September 27th, 2013",AMECAFE,Tenayuca 107 Col. Vertiz Narvarte México D.F. Z.C. 03600,Sylvia Gutiérrez - 52-55-56884569 ext 6792,meters,981,
81.92,SAUL M. HERNANDEZ RAMIREZ,Mexico,TEXPANCO,,"HUAZALINGO, HIDALGO","FRANCISCO SAENZ, FERNANDO",10,1,AMECAFE,2012,"September 27th, 2012",Mundo Novo,Completed,Washed / Wet,7.5,7.42,7.25,7.5,7.33,7.33,10,10,10,7.58,Sample  81.92,14%,2 full defects,0,None,8 full defects,"September 27th, 2013",AMECAFE,Tenayuca 107 Col. Vertiz Narvarte México D.F. Z.C. 03600,Sylvia Gutiérrez - 52-55-56884569 ext 6792,meters,690,
81.92,JUAN HERMILIO SAMPIERI CARCAMO,Mexico,LA LAJA,,VERACRUZ,JUAN HERMILIO SAMPIERI CARCAMO,30,1,AMECAFE,2012,"July 11th, 2012",Other,Completed,Washed / Wet,7.33,7.58,7.17,7.58,7.42,7.33,10,10,10,7.5,Sample  81.92,12%,0 full defects,0,Green,4 full defects,"July 11th, 2013",AMECAFE,Tenayuca 107 Col. Vertiz Narvarte México D.F. Z.C. 03600,Sylvia Gutiérrez - 52-55-56884569 ext 6792,meters,1650,
81.92,MODESTO LANDEROS FLORES,Mexico,MATA LARGA,,FORTÍN DE LAS FLORES,MODESTO LANDEROS FLORES,62,1,AMECAFE,2012,"July 11th, 2012",Bourbon,Completed,Washed / Wet,7.67,7.42,7.33,7.83,7.5,7.5,9.33,10,10,7.33,Sample  81.92,12%,0 full defects,0,Green,0 full defects,"July 11th, 2013",AMECAFE,Tenayuca 107 Col. Vertiz Narvarte México D.F. Z.C. 03600,Sylvia Gutiérrez - 52-55-56884569 ext 6792,meters,1000,
81.92,NUCOFFEE,Brazil,Sitío Corrego da Olaria/São Caetano,NUCOFFEE,Grama Valley,Fioravante Malagutti,8,60,NUCOFFEE,2012,"February 29th, 2012",Mundo Novo,Completed,Natural / Dry,7.42,7.58,7.25,7.5,7.33,7.5,10,10,10,7.33,Sample  81.92,12%,0 full defects,0,Green,3 full defects,"February 28th, 2013",NUCOFFEE,"Av. Nações Unidas, 18.001 - 5° floor",-,meters,1100,
81.92,Exportadora de Cafe Condor S.A,Colombia,,,Cundinamarca,Exportadora de Café Cóndor S.A,250,70,Almacafé,4T/2010,"February 1st, 2011",,Completed,,7.67,7.33,7.33,7.58,7.33,7.33,10,10,10,7.33,Sample  81.92,9%,0 full defects,0,,1 full defects,"February 1st, 2012",Almacafé,"Calle 73 No. 8-13 Piso 2 Torre B Bogota, Colombia",Rodrigo Alarcon - 3136600,meters,1600,
81.83,Juan Luis Alvarado Romero,Guatemala,LA ESMERALDA,"UNEX GUATEMALA, S.A.",ORIENTE,JESUS RAMIREZ,25,69,Asociacion Nacional Del Café,2017,"August 22nd, 2017",Bourbon,Completed,Washed / Wet,7.42,7.5,7.25,7.5,7.33,7.42,10,10,10,7.42,Sample  81.83,10%,1 full defects,0,Green,1 full defects,"August 22nd, 2018",Asociacion Nacional Del Café,"5a Calle 0-50, Zona 14 Guatemala City, Guatemala 1014",Juan Luis Alvarado Romero - +502 2311.1951,meters,518,
81.83,Troy Quimby,Costa Rica,Estate La Patricia,Bold Coast Coffee,Tarrazu,Manuel Montero,15,46,Specialty Coffee Association,2016,"February 13th, 2017",Catuai,Completed,Pulped natural / honey,7.25,7.33,7.5,7.33,7.67,7.42,10,10,10,7.33,Sample  81.83,0%,1 full defects,0,Green,4 full defects,"February 13th, 2018",Specialty Coffee Association,"117 W 4th St, Suite 300 Santa Ana, CA 92701",Chris Buck - (562) 624-4100,meters,1900,
81.83,Gabriel Barbara,Brazil,Helena,Volcafe Ltda.,Monte Carmelo - Cerrado,Helena Pingnatti Ricci,200,59,Brazil Specialty Coffee Association,2016,"January 20th, 2017",Mundo Novo,Completed,Natural / Dry,7.42,7.5,7.42,7.5,7.42,7.25,10,10,10,7.33,Sample  81.83,11%,0 full defects,1,Green,3 full defects,"January 20th, 2018",Brazil Specialty Coffee Association,"Rua Gaspar Batista Paiva, 416 – Santa Luiza Varginha/MG – Brazil",João Vitor - 55 35 3212-6302 or 3212-4705,meters,973,
81.83,Aulia Arif Syahri,Indonesia,MUDAR,PT. Olam Indonesia,BALI,MUDAR,166,30,Specialty Coffee Association,2015,"January 19th, 2017",Other,Completed,Other,7.75,7.83,7.58,7.75,7.92,7.83,10,10,10,5.17,Sample  81.83,11%,0 full defects,1,Green,0 full defects,"January 19th, 2018",Specialty Coffee Association,"117 W 4th St, Suite 300 Santa Ana, CA 92701",Chris Buck - (562) 624-4100,meters,1250,
81.83,Juan Luis Alvarado Romero,Guatemala,CHAPULTEPEC,"UNEX GUATEMALA, S.A.",NORTE,CHAPULTEPEC,130,69,Asociacion Nacional Del Café,2015,"August 2nd, 2016",Bourbon,Completed,Washed / Wet,7.58,7.5,7.33,7.42,7.58,7.25,10,10,10,7.17,Sample  81.83,10%,2 full defects,0,Green,6 full defects,"August 2nd, 2017",Asociacion Nacional Del Café,"5a Calle 0-50, Zona 14 Guatemala City, Guatemala 1014",Juan Luis Alvarado Romero - +502 2311.1951,feet,3280,
81.83,Ipanema Coffees,Brazil,Rio Verde,Ipanema Coffees,South of Minas Gerais,Ipanema Agrícola SA,320,2,Brazil Specialty Coffee Association,2015/2016,"October 8th, 2015",Yellow Bourbon,Completed,Natural / Dry,7.17,7.58,6.83,7.5,7.75,7.25,10,10,10,7.75,Sample  81.83,0%,0 full defects,0,Green,1 full defects,"October 7th, 2016",Brazil Specialty Coffee Association,"Rua Gaspar Batista Paiva, 416 – Santa Luiza Varginha/MG – Brazil",João Vitor - 55 35 3212-6302 or 3212-4705,meters,,
81.83,Ipanema Coffees,Brazil,Rio Verde,Ipanema Coffees,South of Minas Gerais,Ipanema Agrícola SA,300,2,Brazil Specialty Coffee Association,2015/2016,"October 8th, 2015",Yellow Bourbon,Completed,Natural / Dry,7.58,7,6.92,6.92,7.67,7.5,10,10,10,8.25,Sample  81.83,0%,0 full defects,0,Green,0 full defects,"October 7th, 2016",Brazil Specialty Coffee Association,"Rua Gaspar Batista Paiva, 416 – Santa Luiza Varginha/MG – Brazil",João Vitor - 55 35 3212-6302 or 3212-4705,meters,,
81.83,U Mg Mg,Myanmar,Wat-Ka-Bu,,Ywar Ngan,U Mg Mg,1,2,Coffee Quality Institute,2015,"July 17th, 2015",Catuai,Completed,Washed / Wet,7.33,7.58,7.5,7.42,7.33,7.33,10,10,10,7.33,Sample  81.83,0%,0 full defects,0,Green,2 full defects,"July 16th, 2016",Coffee Quality Institute,"26895 Aliso Creek Road, Suite B-866",Coffee Quality Institute - 562.624.4190,feet,4001,
81.83,VIRIDIANA,Mexico,RANCHO BONITO,AGROINDUSTRIAS UNIDAS DE MEXICO SA DE CV,CHIAPAS,MARTINIANO A. MORENO ALVARADO,250,2,Asociación Mexicana De Cafés y Cafeterías De Especialidad A.C.,2015,"June 25th, 2015",Catuai,Completed,Washed / Wet,7.58,7.5,7.33,7.5,7.17,7.33,10,10,10,7.42,Sample  81.83,11%,0 full defects,0,Green,7 full defects,"June 24th, 2016",Asociación Mexicana De Cafés y Cafeterías De Especialidad A.C.,Liverpool 91 COL. Juárez CP06600. Cuauhtémoc México DF,ING. Arturo Hernández Fujigaki - +52 (55) 56984710,meters,1350,1500
81.83,CADEXSA,Honduras,CERRO BUENO,CADEXSA,MARCALA,JOSE OMAR ACOSTA,275,1,Instituto Hondureño del Café,2015,"May 12th, 2015",Catuai,Completed,Washed / Wet,7.5,7.5,7.33,7.5,7.42,7.25,10,10,10,7.33,Sample  81.83,12%,0 full defects,0,Green,1 full defects,"May 11th, 2016",Instituto Hondureño del Café,"Laboratorio de Control de Calidad de Café ( CNCC), 33 Calle, 1-2 Avenida, Sector El Cacao. San Pedro Sula, Cortes",Ramon Reyes - + 504 9693-9042,meters,1400,
81.83,"CAFETALERA INTERNACIONAL CAFINTER, S.A.",Costa Rica,EL PATALILLO,"CAFETALERA INTERNACIONAL CAFINTER, S.A.",TRES RIOS,JOSE FRANCISCO GONZALEZ,275,18975,Specialty Coffee Association of Costa Rica,2015,"May 7th, 2015",Caturra,Completed,Washed / Wet,7.67,7.5,7.5,7.25,7.08,7.42,10,10,10,7.42,Sample  81.83,9%,0 full defects,0,Green,0 full defects,"May 6th, 2016",Specialty Coffee Association of Costa Rica,"Blvd Rohrmoser, de Prisma Dental 200 norte y 25 oeste, casa 21",Noelia Villalobos - (506) 2220 0685,meters,1200,1400
